Time,1,2,3,4,5,6,7,8,9,10,11,12
GS-8,-6.3,-6,-7.2,-7.8,-7.7,-5,-5.3,-5,-5.5,-5.5,-5,-5.7
GI-8,10.3,9.9,11.8,12.7,12.5,8.1,8.6,8.2,8.9,9,8.2,9.4
GS-11,-4.1,-3.9,-4.7,-5.1,-5,-3.2,-3.4,-3.3,-3.6,-3.6,-3.3,-3.7
GI-11,8.6,8.3,9.8,10.6,10.5,6.8,7.2,6.9,7.5,7.6,6.9,7.8
