"LGM","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"47.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","126","124","155","135","135","133","131","132","132","132","132","132","131","123","120","120","123"
"End veg. day","276","276","257","276","276","286","286","285","285","286","287","288","289","290","289","288","287"
"Veg. sum days","150","152","102","141","141","153","155","153","153","154","155","156","158","167","169","168","164"
"Sum of temperature","1994.36","1926.15","893.25","1791.27","1980.62","2225.74","2370.44","2385.4","2520.24","2602.47","2754.92","2799.25","2895.49","3059.21","3035.14","2927.16","2850.11"
"","","","","","","","","","","","","","","","","",""
"50","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","149","148","149","150","149","145","146","148","146","145","145","144","143","142","136","140","138"
"End veg. day","257","271","272","273","274","275","275","276","276","276","276","278","279","280","280","277","269"
"Veg. sum days","108","123","123","123","125","130","129","128","130","131","131","134","136","138","144","137","131"
"Sum of temperature","1116.93","1339.1","1381.92","1436.46","1565.1","1756.16","1824.61","1893.92","1996.04","2082.24","2135.03","2306.62","2397.58","2408.02","2368.56","2153.51","2136.56"
"","","","","","","","","","","","","","","","","",""
"52.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","182","171","160","157","156","157","157","155","155","155","155","150","146","150","155","152"
"End veg. day","-Inf","228","251","253","264","264","265","265","266","266","266","267","267","267","267","262","266"
"Veg. sum days","-Inf","46","80","93","107","108","108","108","111","111","111","112","117","121","117","107","114"
"Sum of temperature","0","321.95","680","929.01","1152.87","1270.73","1323.11","1429.11","1572.31","1613.77","1647.18","1708.69","1866.15","1912.18","1746.44","1404.54","1569.39"
"","","","","","","","","","","","","","","","","",""
"55","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","178","174","171","165","164","164","163","160","156","158","166","161"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","251","253","256","259","260","265","261","265","261","261","247","255"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","73","79","85","94","96","101","98","105","105","103","81","94"
"Sum of temperature","0","0","0","0","0","651.56","836.67","981.71","1178.18","1260.78","1310.98","1321.5","1408.02","1410.77","1411.48","952.08","1141.87"
"","","","","","","","","","","","","","","","","",""
"57.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","197","189","180","177","175","175","169","169","166","166","167"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","229","244","246","253","254","254","254","247","254","247","247"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","32","55","66","76","79","79","85","78","88","81","80"
"Sum of temperature","0","0","0","0","0","0","188.43","499.26","677.49","839.49","930.75","945.83","986.54","917.32","1037.63","952.08","900.01"
"","","","","","","","","","","","","","","","","",""
"60","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","199","190","189","181","181","181","180","181","181"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","229","243","244","245","245","245","246","245","246"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","30","53","55","64","64","64","66","64","65"
"Sum of temperature","0","0","0","0","0","0","0","0","158.32","423.75","486.01","616.26","631.22","645.67","699.66","636.88","678.21"
"","","","","","","","","","","","","","","","","",""
"62.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","202","192","191","191","190","191","191"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","227","230","234","234","234","235","235"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","25","38","43","43","44","44","44"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","68.78","275.26","349.88","364.79","376.06","379.74","364.75"
"","","","","","","","","","","","","","","","","",""
"65","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","203","Inf"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","225","-Inf"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","22","-Inf"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31.76","0"
