"LGM","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"47.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","118","107","144","132","131","126","125","126","126","125","125","125","123","119","118","119","119"
"End veg. day","290","290","273","288","287","288","288","287","288","289","290","291","292","292","292","291","290"
"Veg. sum days","172","183","129","156","156","162","163","161","162","164","165","166","169","173","174","172","171"
"Sum of temperature","2426.57","2433.9","1246.84","2153.56","2348.9","2578.59","2724.96","2734.19","2874.37","2966.96","3121.86","3163.65","3275.39","3429.9","3405.66","3289.04","3223.23"
"","","","","","","","","","","","","","","","","",""
"50","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","133","134","142","144","140","139","141","143","143","142","142","138","137","135","130","132","130"
"End veg. day","272","274","274","275","276","278","278","278","279","280","280","283","284","285","284","281","281"
"Veg. sum days","139","140","132","131","136","139","137","135","136","138","138","145","147","150","154","149","151"
"Sum of temperature","1519.26","1675.78","1665.39","1713.79","1862.3","2054.24","2115.38","2177.69","2275.71","2369.13","2423.03","2624.5","2722.82","2741.84","2708.65","2492.24","2520.87"
"","","","","","","","","","","","","","","","","",""
"52.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","173","161","156","154","154","155","155","153","151","153","150","145","144","145","151","146"
"End veg. day","-Inf","251","253","265","265","266","266","275","276","276","275","275","276","276","269","267","267"
"Veg. sum days","-Inf","78","92","109","111","112","111","120","123","125","122","125","131","132","124","116","121"
"Sum of temperature","0","622.62","897.27","1198.18","1372.86","1493.17","1539.5","1701.5","1852.49","1903.57","1919.57","1990.62","2174.66","2208.15","2009.15","1657.74","1820.33"
"","","","","","","","","","","","","","","","","",""
"55","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","173","169","165","163","160","160","160","157","154","155","163","158"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","253","258","264","265","266","266","266","266","266","266","256","261"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","80","89","99","102","106","106","106","109","112","111","93","103"
"Sum of temperature","0","0","0","0","0","828.41","1041.07","1222.1","1402.36","1502.3","1525.42","1555.45","1624.92","1650.16","1653.61","1176.69","1365.07"
"","","","","","","","","","","","","","","","","",""
"57.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","190","180","177","174","168","167","167","166","163","163","164"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","244","247","254","255","258","258","258","256","256","256","255"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","54","67","77","81","90","91","91","90","93","93","91"
"Sum of temperature","0","0","0","0","0","0","435.85","671.94","866.15","1008.56","1138.94","1164.35","1177.69","1138.35","1229.41","1176.69","1113.29"
"","","","","","","","","","","","","","","","","",""
"60","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","191","188","188","179","178","178","178","179","176"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","234","244","245","246","246","246","247","247","247"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","43","56","57","67","68","68","69","68","71"
"Sum of temperature","0","0","0","0","0","0","0","0","356.08","538.68","598.75","750.41","771.53","786.69","837.94","777.51","832.36"
"","","","","","","","","","","","","","","","","",""
"62.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","203","197","190","189","188","187","188","188"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","226","233","234","243","244","244","244","245"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","23","36","44","54","56","57","56","57"
"Sum of temperature","0","0","0","0","0","0","0","0","0","44.38","237.65","390.98","496.02","524.44","538.23","538.16","527.21"
"","","","","","","","","","","","","","","","","",""
"65","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","199","198","197","Inf"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","230","233","233","-Inf"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","31","35","36","-Inf"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","0","0","158.4","218.98","241.8","0"
