"LGM","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"47.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","124","115","148","134","133","131","127","130","130","127","127","130","127","121","119","119","120"
"End veg. day","280","289","262","278","279","287","287","286","287","288","289","290","291","291","290","290","289"
"Veg. sum days","156","174","114","144","146","156","160","156","157","161","162","160","164","170","171","171","169"
"Sum of temperature","2181.62","2213.5","1058.5","1950.3","2150.73","2398.78","2556.46","2557.82","2697.92","2797.92","2952.09","2979.76","3091.13","3249.24","3223.76","3118.94","3049.29"
"","","","","","","","","","","","","","","","","",""
"50","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","146","139","147","148","145","143","144","145","145","144","144","142","141","140","133","135","132"
"End veg. day","271","273","273","274","275","276","276","277","277","277","278","280","281","283","281","280","281"
"Veg. sum days","125","134","126","126","130","133","132","132","132","133","134","138","140","143","148","145","149"
"Sum of temperature","1328.16","1517.98","1517.58","1572.21","1713.16","1900.19","1968.29","2041.83","2134.75","2221.84","2279.91","2460.98","2554.95","2571.9","2536.84","2334.67","2369.98"
"","","","","","","","","","","","","","","","","",""
"52.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","179","167","158","156","155","156","156","154","154","154","154","146","145","146","153","151"
"End veg. day","-Inf","249","252","264","265","265","265","266","267","267","268","268","275","269","267","266","267"
"Veg. sum days","-Inf","70","85","106","109","110","109","110","113","113","114","114","129","124","121","113","116"
"Sum of temperature","0","516.65","784.42","1089.47","1265.91","1385.31","1431.98","1543.71","1689.17","1730.91","1769.45","1826.49","2046.67","2047.21","1882.97","1542.21","1689.57"
"","","","","","","","","","","","","","","","","",""
"55","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","175","171","167","164","162","163","161","159","155","157","165","160"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","252","255","259","265","265","265","266","266","266","266","255","256"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","77","84","92","101","103","102","105","107","111","109","90","96"
"Sum of temperature","0","0","0","0","0","744.49","939.68","1101.83","1308.46","1395.17","1413.37","1457.8","1519.98","1547.29","1546.85","1082.08","1242.56"
"","","","","","","","","","","","","","","","","",""
"57.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","191","186","179","175","174","168","168","167","165","165","165"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","232","245","253","254","255","255","255","255","255","255","248"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","41","59","74","79","81","87","87","88","90","90","83"
"Sum of temperature","0","0","0","0","0","0","323.65","574.67","785.72","928.89","1017.8","1066.68","1079.77","1050.65","1133.7","1082.08","992.84"
"","","","","","","","","","","","","","","","","",""
"60","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","193","189","188","180","180","180","179","180","178"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","232","244","244","245","246","246","246","246","246"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","39","55","56","65","66","66","67","66","68"
"Sum of temperature","0","0","0","0","0","0","0","0","300.06","486.03","544.67","683.24","703.58","718.5","768.6","709.64","757.11"
"","","","","","","","","","","","","","","","","",""
"62.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","200","191","190","189","189","189","189"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","229","234","235","242","242","242","241"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","29","43","45","53","53","53","52"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","129.98","347.85","402.18","463.15","471.38","476.57","455.22"
"","","","","","","","","","","","","","","","","",""
"65","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","202","201","200","Inf"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","229","230","230","-Inf"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","27","29","30","-Inf"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","0","0","94.73","122.67","137.82","0"
