"LGM","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"47.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","117","106","144","132","131","126","125","126","126","125","125","125","123","119","118","119","119"
"End veg. day","290","291","273","288","287","288","288","287","288","289","290","291","292","292","292","291","290"
"Veg. sum days","173","185","129","156","156","162","163","161","162","164","165","166","169","173","174","172","171"
"Sum of temperature","2446.33","2460.8","1256.84","2166.26","2361.6","2591.89","2738.36","2747.39","2887.67","2980.46","3135.46","3177.35","3289.39","3444.5","3420.46","3303.54","3237.63"
"","","","","","","","","","","","","","","","","",""
"50","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","133","133","139","144","140","139","141","143","143","142","142","138","137","135","130","132","130"
"End veg. day","272","274","274","275","276","278","278","278","280","280","280","284","284","285","284","281","282"
"Veg. sum days","139","141","135","131","136","139","137","135","137","138","138","146","147","150","154","149","152"
"Sum of temperature","1530.26","1691.9","1690.93","1723.99","1873","2065.24","2126.18","2188.29","2291.46","2380.03","2433.93","2641.11","2734.62","2753.94","2721.15","2504.24","2538.11"
"","","","","","","","","","","","","","","","","",""
"52.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","173","161","156","154","154","155","155","153","151","153","150","145","144","145","151","146"
"End veg. day","-Inf","251","258","265","265","266","266","275","276","276","276","275","277","277","269","267","267"
"Veg. sum days","-Inf","78","97","109","111","112","111","120","123","125","123","125","132","133","124","116","121"
"Sum of temperature","0","629.62","930.07","1206.58","1381.26","1501.67","1548","1710.9","1861.99","1913.17","1934","2000.22","2189.86","2223.48","2018.65","1666.44","1829.53"
"","","","","","","","","","","","","","","","","",""
"55","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","173","169","165","163","160","160","160","157","154","155","163","158"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","253","259","264","265","266","266","266","266","266","266","256","261"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","80","90","99","102","106","106","106","109","112","111","93","103"
"Sum of temperature","0","0","0","0","0","835.61","1053.82","1230.4","1410.76","1510.8","1533.92","1563.95","1633.42","1658.66","1662.11","1184.19","1373.07"
"","","","","","","","","","","","","","","","","",""
"57.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","190","180","177","174","168","167","167","166","163","163","164"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","244","252","254","255","258","259","258","256","256","256","255"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","54","72","77","81","90","92","91","90","93","93","91"
"Sum of temperature","0","0","0","0","0","0","441.35","704.8","873.45","1015.96","1146.64","1177.13","1185.39","1145.85","1236.91","1184.19","1120.69"
"","","","","","","","","","","","","","","","","",""
"60","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","191","188","187","179","178","178","178","179","176"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","234","245","245","246","246","246","247","247","247"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","43","57","58","67","68","68","69","68","71"
"Sum of temperature","0","0","0","0","0","0","0","0","360.48","549.43","609.6","756.91","778.03","793.19","844.54","784.11","838.96"
"","","","","","","","","","","","","","","","","",""
"62.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","202","196","190","189","188","187","188","188"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","227","233","235","244","244","244","245","245"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","25","37","45","55","56","57","57","57"
"Sum of temperature","0","0","0","0","0","0","0","0","0","67.15","253.84","400.49","506.53","530.14","544.03","548.92","533.01"
"","","","","","","","","","","","","","","","","",""
"65","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","202","198","198","196","Inf"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","222","230","233","234","-Inf"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","20","32","35","38","-Inf"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","0","10.48","173.44","222.18","274.59","0"
