"LGM","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"47.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","126","119","155","135","135","132","131","132","132","132","131","132","130","123","119","120","122"
"End veg. day","276","276","257","276","277","286","286","285","286","287","287","288","290","290","289","288","287"
"Veg. sum days","150","157","102","141","142","154","155","153","154","155","156","156","160","167","170","168","165"
"Sum of temperature","2021.06","1979.79","909.35","1815.27","2009.8","2257.59","2397.64","2412.1","2552.09","2634.52","2787.31","2826.55","2933.73","3089.61","3071.27","2958.06","2884.95"
"","","","","","","","","","","","","","","","","",""
"50","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","149","147","149","149","149","145","145","146","146","145","145","144","142","142","135","139","137"
"End veg. day","257","271","272","273","274","275","275","276","276","277","277","278","280","281","280","277","269"
"Veg. sum days","108","124","123","124","125","130","130","130","130","132","132","134","138","139","145","138","132"
"Sum of temperature","1134.53","1363.43","1401.02","1460.46","1584.5","1776.96","1850.33","1924.34","2016.74","2108.26","2161.12","2328.32","2429.9","2435.78","2398.24","2181.35","2163.84"
"","","","","","","","","","","","","","","","","",""
"52.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","181","170","160","157","156","157","157","155","155","155","155","150","146","150","154","152"
"End veg. day","-Inf","228","251","253","264","265","265","266","266","266","266","267","267","267","267","265","266"
"Veg. sum days","-Inf","47","81","93","107","109","108","109","111","111","111","112","117","121","117","111","114"
"Sum of temperature","0","333.39","697.44","943.71","1169.27","1292.42","1339.61","1450.63","1589.31","1630.77","1664.18","1725.79","1884.45","1931.68","1764.74","1442.34","1586.99"
"","","","","","","","","","","","","","","","","",""
"55","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","177","174","170","165","164","164","163","160","156","158","166","161"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","251","254","257","260","265","265","265","265","261","265","248","255"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","74","80","87","95","101","101","102","105","105","107","82","94"
"Sum of temperature","0","0","0","0","0","667.61","853.66","1004.64","1197.56","1302.67","1326.08","1359.12","1423.92","1427.07","1449.54","969.99","1156.57"
"","","","","","","","","","","","","","","","","",""
"57.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","193","189","179","177","175","174","169","169","165","166","166"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","229","244","246","253","254","254","255","247","255","248","247"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","36","55","67","76","79","80","86","78","90","82","81"
"Sum of temperature","0","0","0","0","0","0","240.91","507.96","692.54","850.79","942.55","962.64","1004.62","929.62","1061.4","969.99","917.81"
"","","","","","","","","","","","","","","","","",""
"60","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","199","190","189","181","181","181","180","181","180"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","231","243","244","245","245","245","246","245","246"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","32","53","55","64","64","64","66","64","66"
"Sum of temperature","0","0","0","0","0","0","0","0","186.56","432.25","494.71","625.96","640.92","655.37","709.66","646.58","693.02"
"","","","","","","","","","","","","","","","","",""
"62.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","202","192","191","191","190","191","191"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","227","232","234","234","235","235","235"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","25","40","43","43","45","44","44"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","70.58","298.69","356.48","371.39","387.78","386.54","371.55"
"","","","","","","","","","","","","","","","","",""
"65","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","203","203","Inf"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","223","229","-Inf"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","20","26","-Inf"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.57","77.94","0"
