"LGM","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"47.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","149","150","Inf","152","152","150","145","146","145","145","144","144","143","140","139","142","145"
"End veg. day","254","253","-Inf","257","263","266","272","267","274","268","274","275","276","277","275","269","268"
"Veg. sum days","105","103","-Inf","105","111","116","127","121","129","123","130","131","133","137","136","127","123"
"Sum of temperature","1091.29","988.04","0","1023.68","1215.03","1382.3","1544.88","1553.6","1721.96","1757.89","1930.34","1975.25","2048.64","2142.27","2085.83","1966.97","1910.93"
"","","","","","","","","","","","","","","","","",""
"50","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","162","161","162","163","158","156","155","155","155","154","154","152","152","152","150","152","152"
"End veg. day","227","249","251","252","253","258","260","260","261","261","265","266","266","266","266","262","261"
"Veg. sum days","65","88","89","89","95","102","105","105","106","107","111","114","114","114","116","110","109"
"Sum of temperature","449.88","682.57","727.18","775.94","898.65","1066.65","1152.54","1225.12","1314.08","1394.11","1469.46","1616.34","1685.81","1680.24","1606.87","1435.34","1444.47"
"","","","","","","","","","","","","","","","","",""
"52.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","180","173","173","172","171","166","164","163","161","157","155","157","163","160"
"End veg. day","-Inf","-Inf","-Inf","228","244","247","252","254","255","255","255","256","258","257","255","247","248"
"Veg. sum days","-Inf","-Inf","-Inf","48","71","74","80","83","89","91","92","95","101","102","98","84","88"
"Sum of temperature","0","0","0","342.94","561.17","662.25","740.79","843.84","976.62","1022.61","1059.2","1126.96","1266.89","1287.32","1142.94","844.95","965.4"
"","","","","","","","","","","","","","","","","",""
"55","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","188","180","178","176","176","175","170","165","165","180","170"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","230","244","245","245","246","246","247","246","247","236","243"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","42","64","67","69","70","71","77","81","82","56","73"
"Sum of temperature","0","0","0","0","0","0","334.17","529.13","658.27","720.64","743.5","768.48","834.98","851.62","870.55","491.1","645.18"
"","","","","","","","","","","","","","","","","",""
"57.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","191","187","183","182","182","182","179","180","181"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","231","234","243","243","243","243","243","236","234"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","40","47","60","61","61","61","64","56","53"
"Sum of temperature","0","0","0","0","0","0","0","0","288.98","390.26","514.85","531.01","539.68","511.19","572.85","491.1","441.32"
"","","","","","","","","","","","","","","","","",""
"60","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","191","191","191","190","191","190"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","227","227","227","230","227","231"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","36","36","36","40","36","41"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","220.52","227.17","234.65","303.6","228.92","297.94"
"","","","","","","","","","","","","","","","","",""
"62.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","","","","","","","","","","","","",""
"65","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
