"LGM","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"47.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","92","88","97","99","99","98","98","99","100","100","101","101","102","102","102","102","103"
"End veg. day","302","304","292","300","294","294","294","294","296","302","307","309","310","311","310","308","304"
"Veg. sum days","210","216","195","201","195","196","196","195","196","202","206","208","208","209","208","206","201"
"Sum of temperature","3834.34","3883.52","2568.95","3472.54","3635.14","3865.32","4027.76","4022.27","4157.13","4282.44","4463.67","4518.78","4636.52","4812.27","4795.48","4651.63","4544.41"
"","","","","","","","","","","","","","","","","",""
"50","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","105","105","114","115","115","115","115","115","117","117","118","118","118","117","108","109","110"
"End veg. day","292","292","292","292","291","291","291","290","290","290","291","293","293","294","294","293","290"
"Veg. sum days","187","187","178","177","176","176","176","175","173","173","173","175","175","177","186","184","180"
"Sum of temperature","2749.86","2904.91","2852.42","2874.45","3010.22","3205.03","3270.85","3325.87","3406.79","3493.6","3543.53","3746.81","3852.86","3882.89","3919.95","3683.07","3681.12"
"","","","","","","","","","","","","","","","","",""
"52.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","128","127","127","126","126","124","125","131","125","124","125","123","121","120","120","132","129"
"End veg. day","253","275","276","278","284","287","287","287","287","286","286","286","286","286","285","283","284"
"Veg. sum days","125","148","149","152","158","163","162","156","162","162","161","163","165","166","165","151","155"
"Sum of temperature","686.17","1481.48","1886.06","2158.69","2389.48","2550.67","2595.82","2666.91","2857.7","2903.36","2923.52","2994.28","3201.91","3260.9","3075.52","2603.64","2795.5"
"","","","","","","","","","","","","","","","","",""
"55","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","173","173","174","156","155","153","143","143","144","144","138","133","134","157","141"
"End veg. day","-Inf","-Inf","227","228","230","275","276","277","277","278","278","278","278","279","279","268","278"
"Veg. sum days","-Inf","-Inf","54","55","56","119","121","124","134","135","134","134","140","146","145","111","137"
"Sum of temperature","0","0","340.77","361.07","388.53","1588.35","1804.37","1973.51","2234.73","2333.93","2350.6","2383.85","2494.11","2570.17","2556.18","1846.07","2212.61"
"","","","","","","","","","","","","","","","","",""
"57.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","178","174","167","165","160","160","160","160","159","157","157","157"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","228","258","264","266","267","268","268","268","267","268","268","267"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","50","84","97","101","107","108","108","108","108","111","111","110"
"Sum of temperature","0","0","0","0","0","347.38","978.74","1292.67","1500.48","1686.28","1791.59","1816.19","1831.04","1794.98","1907.05","1846.07","1778.72"
"","","","","","","","","","","","","","","","","",""
"60","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","186","180","175","173","173","166","166","166","165","165","162"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","214","245","255","259","260","261","261","261","264","262","262"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","28","65","80","86","87","95","95","95","99","97","100"
"Sum of temperature","0","0","0","0","0","0","100.95","572.42","905.73","1099","1172.73","1355.5","1378.13","1398.14","1479.12","1398.48","1479.95"
"","","","","","","","","","","","","","","","","",""
"62.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","182","182","179","174","173","174","175","176","176"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","234","245","247","253","255","255","255","256","255"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","52","63","68","79","82","81","80","80","79"
"Sum of temperature","0","0","0","0","0","0","0","0","396.4","588.36","730.59","925.68","1010.89","1023.37","1029.48","1033.1","1011.87"
"","","","","","","","","","","","","","","","","",""
"65","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","191","191","182","181","180","182","182","184"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","227","233","244","245","246","246","247","240"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","36","42","62","64","66","64","65","56"
"Sum of temperature","0","0","0","0","0","0","0","0","0","201.07","312.48","556.48","599.35","677.77","688.19","712.81","459.88"
