"LGM","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"47.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","152","152","Inf","156","155","152","152","152","152","152","146","146","145","143","143","146","146"
"End veg. day","252","251","-Inf","253","258","263","264","265","266","266","267","267","268","269","268","267","267"
"Veg. sum days","100","99","-Inf","97","103","111","112","113","114","114","121","121","123","126","125","121","121"
"Sum of temperature","935.31","838.98","0","856.23","1035.26","1212.21","1317.43","1363.77","1492.25","1554.36","1720.83","1759.32","1826.57","1910.35","1858.97","1773.45","1740.42"
"","","","","","","","","","","","","","","","","",""
"50","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","190","164","170","170","167","159","158","157","156","156","156","153","152","152","152","152","152"
"End veg. day","211","228","245","248","252","253","254","258","258","259","259","260","265","265","261","256","256"
"Veg. sum days","21","64","75","78","85","94","96","101","102","103","103","107","113","113","109","104","104"
"Sum of temperature","21.49","449.41","548.78","612.47","732.76","901.56","976.67","1073.06","1160.67","1239.74","1293.05","1437.13","1534.96","1529.32","1427.64","1267.12","1282.78"
"","","","","","","","","","","","","","","","","",""
"52.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","179","176","174","173","171","168","166","165","159","157","159","165","163"
"End veg. day","-Inf","-Inf","-Inf","-Inf","230","244","245","246","253","254","254","254","255","255","247","245","246"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","51","68","71","73","82","86","88","89","96","98","88","80","83"
"Sum of temperature","0","0","0","0","377.86","541.23","601.13","692.27","831.95","883.92","924.37","979.89","1115.55","1139.43","973.47","720.04","831.07"
"","","","","","","","","","","","","","","","","",""
"55","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","190","187","179","178","178","177","176","175","170","183","177"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","227","232","244","244","245","245","246","246","246","233","236"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","37","45","65","66","67","68","70","71","76","50","59"
"Sum of temperature","0","0","0","0","0","0","243.38","358.18","564.6","619.91","641.93","665.39","706.83","700","738.74","393.75","489.12"
"","","","","","","","","","","","","","","","","",""
"57.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","199","190","187","187","186","186","182","183","184"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","227","231","233","233","233","232","234","233","232"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","28","41","46","46","47","46","52","50","48"
"Sum of temperature","0","0","0","0","0","0","0","0","116.43","304.28","374.24","382.64","395.17","368.14","435.39","393.75","351.8"
"","","","","","","","","","","","","","","","","",""
"60","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","192","Inf","202"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","226","-Inf","224"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","34","-Inf","22"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","0","0","0","192.98","0","34.11"
"","","","","","","","","","","","","","","","","",""
"62.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","","","","","","","","","","","","",""
"65","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
