"LGM","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"47.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","150","152","Inf","155","152","151","149","150","146","145","145","145","144","141","141","143","145"
"End veg. day","253","252","-Inf","256","263","265","266","266","267","267","268","274","275","275","269","268","268"
"Veg. sum days","103","100","-Inf","101","111","114","117","116","121","122","123","129","131","134","128","125","123"
"Sum of temperature","1039.06","931.68","0","962.28","1170.23","1325.67","1443.63","1479.42","1630.84","1702.17","1840.92","1911.36","1983.37","2070.37","1989.28","1904.43","1859.93"
"","","","","","","","","","","","","","","","","",""
"50","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","163","162","163","164","159","157","156","156","155","154","154","152","152","152","152","152","152"
"End veg. day","227","248","249","251","253","254","259","259","260","260","260","265","266","266","265","261","257"
"Veg. sum days","64","86","86","87","94","97","103","103","105","106","106","113","114","114","113","109","105"
"Sum of temperature","418.69","637.46","676.62","730.14","855.31","1000.34","1100.42","1172.83","1266.57","1346.19","1399.92","1565.5","1639.81","1634.24","1545.62","1386.24","1379.66"
"","","","","","","","","","","","","","","","","",""
"52.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","180","175","173","173","171","167","165","164","163","157","155","158","163","161"
"End veg. day","-Inf","-Inf","-Inf","227","231","246","247","253","254","255","255","255","257","256","248","246","247"
"Veg. sum days","-Inf","-Inf","-Inf","47","56","73","74","82","87","90","91","92","100","101","90","83","86"
"Sum of temperature","0","0","0","318.65","449.83","627.48","679.03","805.63","930.78","980.96","1017.37","1074.31","1221.39","1241.45","1061.6","806.24","920.53"
"","","","","","","","","","","","","","","","","",""
"55","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","189","180","178","177","177","176","171","165","165","181","176"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","229","243","245","245","245","246","246","246","246","235","243"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","40","63","67","68","68","70","75","81","81","54","67"
"Sum of temperature","0","0","0","0","0","0","307.29","498.32","631.07","687.95","705.36","734.95","794.31","818.82","832.72","458.91","585.34"
"","","","","","","","","","","","","","","","","",""
"57.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","191","188","185","183","183","183","180","181","182"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","229","233","243","243","243","234","243","235","234"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","38","45","58","60","60","51","63","54","52"
"Sum of temperature","0","0","0","0","0","0","0","0","255.96","361.76","480.77","501.55","510.01","435.95","542.06","458.91","414.97"
"","","","","","","","","","","","","","","","","",""
"60","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","199","191","191","191","192","191"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","226","226","226","230","225","226"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","27","35","35","39","33","35"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","97.17","202.26","209.52","282.21","181.56","223.6"
"","","","","","","","","","","","","","","","","",""
"62.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","","","","","","","","","","","","",""
"65","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
