X1,X2,X3,X4,X5,X6,X7,X8
-10,45,-7.5,42.5,15,2,325,249
-10,45,-7.5,42.5,15,7,325,249
-10,45,-7.5,42.5,15,14,325,249
-7.5,37.5,-5,35,9,2,87,11
-7.5,37.5,-5,35,9,7,87,11
-7.5,45,-7.5,42.5,15,2,330,249
-7.5,45,-7.5,42.5,15,7,330,249
-7.5,45,-7.5,42.5,15,14,330,249
-5,40,-2.5,37.5,3,2,173,97
-5,45,-7.5,42.5,15,2,335,249
-5,45,-7.5,42.5,15,7,335,249
-5,45,-7.5,42.5,15,14,335,249
-5,45,-2.5,42.5,20,2,335,259
-5,45,-2.5,42.5,20,7,335,259
-5,45,-2.5,42.5,20,14,335,259
-2.5,45,-2.5,42.5,20,2,340,259
-2.5,45,-2.5,42.5,20,7,340,259
-2.5,45,-2.5,42.5,20,14,340,259
0,37.5,-2.5,35,4,2,102,16
0,37.5,0,35,25,2,102,21
0,37.5,0,35,25,7,102,21
0,37.5,0,35,25,14,102,21
0,37.5,0,35,25,21,102,21
0,37.5,2.5,35,25,2,102,26
0,37.5,2.5,35,25,7,102,26
0,37.5,2.5,35,25,14,102,26
0,37.5,2.5,35,25,21,102,26
0,40,-2.5,37.5,14,2,183,97
0,40,-2.5,37.5,14,7,183,97
0,40,-2.5,37.5,14,14,183,97
0,45,-2.5,42.5,20,2,345,259
0,45,-2.5,42.5,20,7,345,259
0,45,-2.5,42.5,20,14,345,259
2.5,37.5,0,35,24,2,107,21
2.5,37.5,0,35,24,7,107,21
2.5,37.5,0,35,24,14,107,21
2.5,37.5,0,35,24,21,107,21
2.5,37.5,2.5,35,24,2,107,26
2.5,37.5,2.5,35,24,7,107,26
2.5,37.5,2.5,35,24,14,107,26
2.5,37.5,2.5,35,24,21,107,26
2.5,47.5,5,45,8,2,431,355
2.5,47.5,5,45,8,7,431,355
5,37.5,2.5,35,24,2,112,26
5,37.5,2.5,35,24,7,112,26
5,37.5,2.5,35,24,14,112,26
5,37.5,2.5,35,24,21,112,26
5,37.5,7.5,35,20,2,112,36
5,37.5,7.5,35,20,7,112,36
5,37.5,7.5,35,20,14,112,36
5,47.5,5,45,8,2,436,355
5,47.5,5,45,8,7,436,355
5,47.5,7.5,45,22,2,436,360
5,47.5,7.5,45,22,7,436,360
5,47.5,7.5,45,22,14,436,360
5,47.5,7.5,45,22,21,436,360
5,50,7.5,47.5,10,2,517,441
5,50,7.5,47.5,10,7,517,441
7.5,37.5,7.5,35,20,2,117,36
7.5,37.5,7.5,35,20,7,117,36
7.5,37.5,7.5,35,20,14,117,36
7.5,47.5,7.5,45,12,2,441,360
7.5,47.5,7.5,45,12,7,441,360
7.5,50,7.5,47.5,10,2,522,441
7.5,50,7.5,47.5,10,7,522,441
10,37.5,7.5,35,20,2,122,36
10,37.5,7.5,35,20,7,122,36
10,37.5,7.5,35,20,14,122,36
10,50,7.5,47.5,10,2,527,441
10,50,7.5,47.5,10,7,527,441
12.5,45,12.5,42.5,11,2,370,289
12.5,45,12.5,42.5,11,7,370,289
15,45,12.5,42.5,3,2,375,289
15,50,15,47.5,19,2,537,456
15,50,15,47.5,19,7,537,456
15,50,15,47.5,19,14,537,456
17.5,40,15,37.5,10,2,218,132
17.5,40,15,37.5,10,7,218,132
17.5,42.5,20,40,3,2,299,223
17.5,45,20,42.5,23,2,380,304
17.5,45,20,42.5,23,7,380,304
17.5,45,20,42.5,23,14,380,304
17.5,45,20,42.5,23,21,380,304
17.5,50,15,47.5,14,2,542,456
17.5,50,15,47.5,14,7,542,456
17.5,50,15,47.5,14,14,542,456
17.5,50,15,47.5,14,14,542,456
20,45,20,42.5,23,2,385,304
20,45,20,42.5,23,7,385,304
20,45,20,42.5,23,14,385,304
20,45,20,42.5,23,21,385,304
20,45,22.5,42.5,6,2,385,309
20,47.5,22.5,45,3,2,466,390
22.5,40,22.5,37.5,17,2,228,147
22.5,40,22.5,37.5,17,7,228,147
22.5,40,22.5,37.5,17,14,228,147
22.5,45,20,42.5,18,2,390,304
22.5,45,20,42.5,18,7,390,304
22.5,45,20,42.5,18,14,390,304
22.5,47.5,25,45,2,2,471,395
25,37.5,22.5,35,2,2,152,66
25,37.5,25,35,4,2,152,71
25,40,22.5,37.5,17,2,233,147
25,40,22.5,37.5,17,7,233,147
25,40,22.5,37.5,17,14,233,147
27.5,40,30,37.5,18,2,238,162
27.5,40,30,37.5,18,7,238,162
27.5,40,30,37.5,18,14,238,162
27.5,42.5,30,40,4,2,319,243
27.5,45,25,42.5,6,2,400,314
27.5,45,27.5,42.5,2,2,400,319
27.5,45,30,42.5,4,2,400,324
30,42.5,30,40,2,2,324,243
30,45,27.5,42.5,8,2,405,319
30,45,27.5,42.5,8,7,405,319
30,45,30,42.5,10,2,405,324
30,45,30,42.5,10,7,405,324
