"ID","DOY","LAT","LONG","MAX","QGIS_ID"
"20/47.5","227","47.5","20","Max","1"
"22.5/47.5","219","47.5","22.5","Max","2"
"27.5/47.5","228","47.5","27.5","Max","4"
"27.5/50","219","50","27.5","Max","21"
"30/47.5","245","47.5","30","Max","5"
"30/50","228","50","30","Max","22"
"32.5/47.5","252","47.5","32.5","Max","6"
"32.5/50","244","50","32.5","Max","23"
"35/47.5","253","47.5","35","Max","7"
"35/50","245","50","35","Max","24"
"35/52.5","228","52.5","35","Max","41"
"37.5/47.5","254","47.5","37.5","Max","8"
"37.5/50","245","50","37.5","Max","25"
"37.5/52.5","231","52.5","37.5","Max","42"
"40/47.5","258","47.5","40","Max","9"
"40/50","246","50","40","Max","26"
"40/52.5","243","52.5","40","Max","43"
"40/55","228","55","40","Max","60"
"42.5/47.5","258","47.5","42.5","Max","10"
"42.5/50","247","50","42.5","Max","27"
"42.5/52.5","244","52.5","42.5","Max","44"
"42.5/55","230","55","42.5","Max","61"
"45/47.5","259","47.5","45","Max","11"
"45/50","248","50","45","Max","28"
"45/52.5","244","52.5","45","Max","45"
"45/55","232","55","45","Max","62"
"45/57.5","225","57.5","45","Max","79"
"47.5/47.5","259","47.5","47.5","Max","12"
"47.5/50","255","50","47.5","Max","29"
"47.5/52.5","245","52.5","47.5","Max","46"
"47.5/55","232","55","47.5","Max","63"
"50/47.5","261","47.5","50","Max","13"
"50/50","256","50","50","Max","30"
"50/52.5","245","52.5","50","Max","47"
"50/55","232","55","50","Max","64"
"52.5/47.5","265","47.5","52.5","Max","14"
"52.5/50","255","50","52.5","Max","31"
"52.5/52.5","245","52.5","52.5","Max","48"
"52.5/55","232","55","52.5","Max","65"
"55/47.5","262","47.5","55","Max","15"
"55/50","248","50","55","Max","32"
"55/52.5","243","52.5","55","Max","49"
"55/55","233","55","55","Max","66"
"55/57.5","221","57.5","55","Max","83"
"57.5/47.5","261","47.5","57.5","Max","16"
"57.5/50","247","50","57.5","Max","33"
"57.5/52.5","232","52.5","57.5","Max","50"
"60/47.5","257","47.5","60","Max","17"
"60/50","247","50","60","Max","34"
"60/52.5","236","52.5","60","Max","51"
