"ID","DOY","LAT","LONG","MIN","QGIS_ID"
"20/47.5","157","47.5","20","Min","1"
"22.5/47.5","162","47.5","22.5","Min","2"
"27.5/47.5","171","47.5","27.5","Min","4"
"27.5/50","191","50","27.5","Min","21"
"30/47.5","164","47.5","30","Min","5"
"30/50","174","50","30","Min","22"
"32.5/47.5","157","47.5","32.5","Min","6"
"32.5/50","173","50","32.5","Min","23"
"35/47.5","156","47.5","35","Min","7"
"35/50","172","50","35","Min","24"
"35/52.5","185","52.5","35","Min","41"
"37.5/47.5","155","47.5","37.5","Min","8"
"37.5/50","171","50","37.5","Min","25"
"37.5/52.5","180","52.5","37.5","Min","42"
"40/47.5","153","47.5","40","Min","9"
"40/50","168","50","40","Min","26"
"40/52.5","179","52.5","40","Min","43"
"40/55","189","55","40","Min","60"
"42.5/47.5","152","47.5","42.5","Min","10"
"42.5/50","165","50","42.5","Min","27"
"42.5/52.5","179","52.5","42.5","Min","44"
"42.5/55","187","55","42.5","Min","61"
"45/47.5","152","47.5","45","Min","11"
"45/50","164","50","45","Min","28"
"45/52.5","178","52.5","45","Min","45"
"45/55","186","55","45","Min","62"
"45/57.5","201","57.5","45","Min","79"
"47.5/47.5","152","47.5","47.5","Min","12"
"47.5/50","157","50","47.5","Min","29"
"47.5/52.5","176","52.5","47.5","Min","46"
"47.5/55","185","55","47.5","Min","63"
"50/47.5","152","47.5","50","Min","13"
"50/50","156","50","50","Min","30"
"50/52.5","170","52.5","50","Min","47"
"50/55","181","55","50","Min","64"
"52.5/47.5","152","47.5","52.5","Min","14"
"52.5/50","155","50","52.5","Min","31"
"52.5/52.5","165","52.5","52.5","Min","48"
"52.5/55","179","55","52.5","Min","65"
"55/47.5","152","47.5","55","Min","15"
"55/50","154","50","55","Min","32"
"55/52.5","166","52.5","55","Min","49"
"55/55","179","55","55","Min","66"
"55/57.5","190","57.5","55","Min","83"
"57.5/47.5","152","47.5","57.5","Min","16"
"57.5/50","156","50","57.5","Min","33"
"57.5/52.5","178","52.5","57.5","Min","50"
"60/47.5","152","47.5","60","Min","17"
"60/50","155","50","60","Min","34"
"60/52.5","176","52.5","60","Min","51"
