"ID","DOY","LAT","LONG","MIN","QGIS_ID"
"20/47.5","149","47.5","20","Min","1"
"20/50","162","50","20","Min","18"
"22.5/47.5","150","47.5","22.5","Min","2"
"22.5/50","161","50","22.5","Min","19"
"25/50","162","50","25","Min","20"
"27.5/47.5","152","47.5","27.5","Min","4"
"27.5/50","163","50","27.5","Min","21"
"27.5/52.5","180","52.5","27.5","Min","38"
"30/47.5","152","47.5","30","Min","5"
"30/50","158","50","30","Min","22"
"30/52.5","173","52.5","30","Min","39"
"32.5/47.5","150","47.5","32.5","Min","6"
"32.5/50","156","50","32.5","Min","23"
"32.5/52.5","173","52.5","32.5","Min","40"
"35/47.5","145","47.5","35","Min","7"
"35/50","155","50","35","Min","24"
"35/52.5","172","52.5","35","Min","41"
"35/55","188","55","35","Min","58"
"37.5/47.5","146","47.5","37.5","Min","8"
"37.5/50","155","50","37.5","Min","25"
"37.5/52.5","171","52.5","37.5","Min","42"
"37.5/55","180","55","37.5","Min","59"
"40/47.5","145","47.5","40","Min","9"
"40/50","155","50","40","Min","26"
"40/52.5","166","52.5","40","Min","43"
"40/55","178","55","40","Min","60"
"40/57.5","191","57.5","40","Min","77"
"42.5/47.5","145","47.5","42.5","Min","10"
"42.5/50","154","50","42.5","Min","27"
"42.5/52.5","164","52.5","42.5","Min","44"
"42.5/55","176","55","42.5","Min","61"
"42.5/57.5","187","57.5","42.5","Min","78"
"45/47.5","144","47.5","45","Min","11"
"45/50","154","50","45","Min","28"
"45/52.5","163","52.5","45","Min","45"
"45/55","176","55","45","Min","62"
"45/57.5","183","57.5","45","Min","79"
"47.5/47.5","144","47.5","47.5","Min","12"
"47.5/50","152","50","47.5","Min","29"
"47.5/52.5","161","52.5","47.5","Min","46"
"47.5/55","175","55","47.5","Min","63"
"47.5/57.5","182","57.5","47.5","Min","80"
"47.5/60","191","60","47.5","Min","97"
"50/47.5","143","47.5","50","Min","13"
"50/50","152","50","50","Min","30"
"50/52.5","157","52.5","50","Min","47"
"50/55","170","55","50","Min","64"
"50/57.5","182","57.5","50","Min","81"
"50/60","191","60","50","Min","98"
"52.5/47.5","140","47.5","52.5","Min","14"
"52.5/50","152","50","52.5","Min","31"
"52.5/52.5","155","52.5","52.5","Min","48"
"52.5/55","165","55","52.5","Min","65"
"52.5/57.5","182","57.5","52.5","Min","82"
"52.5/60","191","60","52.5","Min","99"
"55/47.5","139","47.5","55","Min","15"
"55/50","150","50","55","Min","32"
"55/52.5","157","52.5","55","Min","49"
"55/55","165","55","55","Min","66"
"55/57.5","179","57.5","55","Min","83"
"55/60","190","60","55","Min","100"
"57.5/47.5","142","47.5","57.5","Min","16"
"57.5/50","152","50","57.5","Min","33"
"57.5/52.5","163","52.5","57.5","Min","50"
"57.5/55","180","55","57.5","Min","67"
"57.5/57.5","180","57.5","57.5","Min","84"
"57.5/60","191","60","57.5","Min","101"
"60/47.5","145","47.5","60","Min","17"
"60/50","152","50","60","Min","34"
"60/52.5","160","52.5","60","Min","51"
"60/55","170","55","60","Min","68"
"60/57.5","181","57.5","60","Min","85"
"60/60","190","60","60","Min","102"
