"ID","DOY","LAT","LONG","MIN","QGIS_ID"
"20/47.5","152","47.5","20","Min","1"
"20/50","190","50","20","Min","18"
"22.5/47.5","152","47.5","22.5","Min","2"
"22.5/50","164","50","22.5","Min","19"
"25/50","170","50","25","Min","20"
"27.5/47.5","156","47.5","27.5","Min","4"
"27.5/50","170","50","27.5","Min","21"
"30/47.5","155","47.5","30","Min","5"
"30/50","167","50","30","Min","22"
"30/52.5","179","52.5","30","Min","39"
"32.5/47.5","152","47.5","32.5","Min","6"
"32.5/50","159","50","32.5","Min","23"
"32.5/52.5","176","52.5","32.5","Min","40"
"35/47.5","152","47.5","35","Min","7"
"35/50","158","50","35","Min","24"
"35/52.5","174","52.5","35","Min","41"
"35/55","190","55","35","Min","58"
"37.5/47.5","152","47.5","37.5","Min","8"
"37.5/50","157","50","37.5","Min","25"
"37.5/52.5","173","52.5","37.5","Min","42"
"37.5/55","187","55","37.5","Min","59"
"40/47.5","152","47.5","40","Min","9"
"40/50","156","50","40","Min","26"
"40/52.5","171","52.5","40","Min","43"
"40/55","179","55","40","Min","60"
"40/57.5","199","57.5","40","Min","77"
"42.5/47.5","152","47.5","42.5","Min","10"
"42.5/50","156","50","42.5","Min","27"
"42.5/52.5","168","52.5","42.5","Min","44"
"42.5/55","178","55","42.5","Min","61"
"42.5/57.5","190","57.5","42.5","Min","78"
"45/47.5","146","47.5","45","Min","11"
"45/50","156","50","45","Min","28"
"45/52.5","166","52.5","45","Min","45"
"45/55","178","55","45","Min","62"
"45/57.5","187","57.5","45","Min","79"
"47.5/47.5","146","47.5","47.5","Min","12"
"47.5/50","153","50","47.5","Min","29"
"47.5/52.5","165","52.5","47.5","Min","46"
"47.5/55","177","55","47.5","Min","63"
"47.5/57.5","187","57.5","47.5","Min","80"
"50/47.5","145","47.5","50","Min","13"
"50/50","152","50","50","Min","30"
"50/52.5","159","52.5","50","Min","47"
"50/55","176","55","50","Min","64"
"50/57.5","186","57.5","50","Min","81"
"52.5/47.5","143","47.5","52.5","Min","14"
"52.5/50","152","50","52.5","Min","31"
"52.5/52.5","157","52.5","52.5","Min","48"
"52.5/55","175","55","52.5","Min","65"
"52.5/57.5","186","57.5","52.5","Min","82"
"55/47.5","143","47.5","55","Min","15"
"55/50","152","50","55","Min","32"
"55/52.5","159","52.5","55","Min","49"
"55/55","170","55","55","Min","66"
"55/57.5","182","57.5","55","Min","83"
"55/60","192","60","55","Min","100"
"57.5/47.5","146","47.5","57.5","Min","16"
"57.5/50","152","50","57.5","Min","33"
"57.5/52.5","165","52.5","57.5","Min","50"
"57.5/55","183","55","57.5","Min","67"
"57.5/57.5","183","57.5","57.5","Min","84"
"60/47.5","146","47.5","60","Min","17"
"60/50","152","50","60","Min","34"
"60/52.5","163","52.5","60","Min","51"
"60/55","177","55","60","Min","68"
"60/57.5","184","57.5","60","Min","85"
"60/60","202","60","60","Min","102"
