"ID","DOY","LAT","LONG","MIN","QGIS_ID"
"-10/35","1","35","-10","Min","1"
"-10/37.5","1","37.5","-10","Min","82"
"-10/40","117","40","-10","Min","163"
"-10/42.5","128","42.5","-10","Min","244"
"-10/45","144","45","-10","Min","325"
"-10/47.5","152","47.5","-10","Min","406"
"-10/50","152","50","-10","Min","487"
"-7.5/35","1","35","-7.5","Min","6"
"-7.5/37.5","121","37.5","-7.5","Min","87"
"-7.5/40","138","40","-7.5","Min","168"
"-7.5/42.5","159","42.5","-7.5","Min","249"
"-7.5/45","144","45","-7.5","Min","330"
"-7.5/47.5","152","47.5","-7.5","Min","411"
"-7.5/50","152","50","-7.5","Min","492"
"-5/35","122","35","-5","Min","11"
"-5/37.5","130","37.5","-5","Min","92"
"-5/40","152","40","-5","Min","173"
"-5/42.5","166","42.5","-5","Min","254"
"-5/45","139","45","-5","Min","335"
"-5/47.5","145","47.5","-5","Min","416"
"-5/50","152","50","-5","Min","497"
"-2.5/35","96","35","-2.5","Min","16"
"-2.5/37.5","152","37.5","-2.5","Min","97"
"-2.5/40","155","40","-2.5","Min","178"
"-2.5/42.5","160","42.5","-2.5","Min","259"
"-2.5/45","137","45","-2.5","Min","340"
"-2.5/47.5","139","47.5","-2.5","Min","421"
"-2.5/50","152","50","-2.5","Min","502"
"0/35","132","35","0","Min","21"
"0/37.5","92","37.5","0","Min","102"
"0/40","130","40","0","Min","183"
"0/45","138","45","0","Min","345"
"0/47.5","139","47.5","0","Min","426"
"0/50","140","50","0","Min","507"
"0/52.5","163","52.5","0","Min","588"
"2.5/35","141","35","2.5","Min","26"
"2.5/37.5","1","37.5","2.5","Min","107"
"2.5/40","118","40","2.5","Min","188"
"2.5/42.5","151","42.5","2.5","Min","269"
"2.5/45","162","45","2.5","Min","350"
"2.5/47.5","139","47.5","2.5","Min","431"
"2.5/50","140","50","2.5","Min","512"
"2.5/52.5","153","52.5","2.5","Min","593"
"2.5/55","162","55","2.5","Min","674"
"5/35","106","35","5","Min","31"
"5/37.5","96","37.5","5","Min","112"
"5/40","119","40","5","Min","193"
"5/42.5","127","42.5","5","Min","274"
"5/45","152","45","5","Min","355"
"5/47.5","145","47.5","5","Min","436"
"5/50","144","50","5","Min","517"
"5/52.5","152","52.5","5","Min","598"
"5/55","157","55","5","Min","679"
"7.5/35","139","35","7.5","Min","36"
"7.5/37.5","105","37.5","7.5","Min","117"
"7.5/40","120","40","7.5","Min","198"
"7.5/42.5","122","42.5","7.5","Min","279"
"7.5/45","163","45","7.5","Min","360"
"7.5/47.5","152","47.5","7.5","Min","441"
"7.5/50","145","50","7.5","Min","522"
"7.5/52.5","152","52.5","7.5","Min","603"
"7.5/55","175","55","7.5","Min","684"
"10/35","100","35","10","Min","41"
"10/37.5","106","37.5","10","Min","122"
"10/40","122","40","10","Min","203"
"10/42.5","125","42.5","10","Min","284"
"10/45","139","45","10","Min","365"
"10/50","146","50","10","Min","527"
"10/52.5","162","52.5","10","Min","608"
"12.5/35","86","35","12.5","Min","46"
"12.5/37.5","107","37.5","12.5","Min","127"
"12.5/40","120","40","12.5","Min","208"
"12.5/42.5","145","42.5","12.5","Min","289"
"12.5/45","130","45","12.5","Min","370"
"12.5/50","152","50","12.5","Min","532"
"15/35","26","35","15","Min","51"
"15/37.5","122","37.5","15","Min","132"
"15/40","121","40","15","Min","213"
"15/42.5","124","42.5","15","Min","294"
"15/45","139","45","15","Min","375"
"15/47.5","152","47.5","15","Min","456"
"15/50","152","50","15","Min","537"
"17.5/35","1","35","17.5","Min","56"
"17.5/37.5","106","37.5","17.5","Min","137"
"17.5/40","120","40","17.5","Min","218"
"17.5/42.5","127","42.5","17.5","Min","299"
"17.5/45","136","45","17.5","Min","380"
"17.5/47.5","141","47.5","17.5","Min","461"
"17.5/50","152","50","17.5","Min","542"
"20/35","86","35","20","Min","61"
"20/37.5","105","37.5","20","Min","142"
"20/40","131","40","20","Min","223"
"20/42.5","156","42.5","20","Min","304"
"20/45","132","45","20","Min","385"
"20/47.5","140","47.5","20","Min","466"
"20/50","152","50","20","Min","547"
"22.5/35","101","35","22.5","Min","66"
"22.5/37.5","131","37.5","22.5","Min","147"
"22.5/40","123","40","22.5","Min","228"
"22.5/42.5","150","42.5","22.5","Min","309"
"22.5/45","145","45","22.5","Min","390"
"22.5/47.5","145","47.5","22.5","Min","471"
"22.5/50","152","50","22.5","Min","552"
"22.5/52.5","188","52.5","22.5","Min","633"
"25/35","109","35","25","Min","71"
"25/37.5","109","37.5","25","Min","152"
"25/40","118","40","25","Min","233"
"25/42.5","148","42.5","25","Min","314"
"25/45","150","45","25","Min","395"
"25/47.5","174","47.5","25","Min","476"
"25/50","152","50","25","Min","557"
"25/52.5","178","52.5","25","Min","638"
"27.5/35","64","35","27.5","Min","76"
"27.5/37.5","113","37.5","27.5","Min","157"
"27.5/40","124","40","27.5","Min","238"
"27.5/42.5","133","42.5","27.5","Min","319"
"27.5/45","135","45","27.5","Min","400"
"27.5/47.5","149","47.5","27.5","Min","481"
"27.5/50","152","50","27.5","Min","562"
"27.5/52.5","171","52.5","27.5","Min","643"
"30/35","1","35","30","Min","81"
"30/37.5","150","37.5","30","Min","162"
"30/40","151","40","30","Min","243"
"30/42.5","134","42.5","30","Min","324"
"30/45","134","45","30","Min","405"
"30/47.5","147","47.5","30","Min","486"
"30/50","152","50","30","Min","567"
"30/52.5","166","52.5","30","Min","648"
