ID;Fundplatz;Level;Lat;Long;Temp_Group;Gemeinde;Bundesland;Land;Coord_Precision;Class;Kind_of_Site_1Abri_2OAir
365;Megyaszó-Szelestetö;;48.233;21.085;3;;;;;;
659;Mezhigirtsy I [Mejigirtsy];;49.028;25.029;3;;;;;;
380;Mitoc Malul Galben;;48.111;27.036;3;;;;;;
909;Molochnyi Kamin Cave;;48.4167;23.1667;3;;;;;;
658;Molodova V;10-9;48.56642;27.1839;3;;;;;;
417;Oblazowa;;49.428794;20.126393;3;;;;;;
427;Oselivka I;II / III;48.470342;26.952783;3;;;;;;
478;Poiana-Ciresului;Grav II;46.9277;26.3291;3;;;;;;
266;Ripiceni-Izvor;"Ia, Ib, IIa, IIb;";47.95;27.133;3;;;;;;
540;Sajoszentpeter-Margitkapu dulo;;48.2167;20.7167;3;;;;;;
577;Stînca-Ripiceni [Stânca-Ripiceni];III;47.9501;27.133;3;;;;;;
580;Sungir ;;56.16667;40.483333;3;;;;;;
661;Voronovitsa, lower layer;;48.546181;26.976097;3;;;;;;
955;Zhornov;;50.5231;25.9532;3;;;;;;
660;Babin 1;;48.533003;28.821651;4;;;;;;
89;Brinzeni I (Brynzeny);;48.083333;27.25;4;;;;;;
130;Ceahlau-Cetatica I [Cetatica Cea];Level 2;47.0334;26.02559;4;;;;;;
796;Cejkov I;;48.4666;21.7666;4;;;;;;
143;"Chuntu [Tchountou; Ciuntu]";III;48.25;27.0117;4;;;;;;
907;Cladova;;46.1346;21.6587;4;;;;;;
155;Crasnaleuca;VII (VIII?);48.11;26.828;4;;;;;;
161;Dealul Viei Buda;;46.666;26.824;4;;;;;;
173;Dorohoi-Strahova;;47.991;26.762;4;;;;;;
243;Gura Cheii de Rasnov;;45.58639;25.51417;4;;;;;;
808;Hidasnémeti;;48.5017;21.2292;4;;;;;;
268;Jaksice II;;50.158;20.543;4;;;;;;
281;Kasov I;;48.48333;21.75;4;;;;;;
855;Mitoc Malul Galben;;48.111;27.036;4;;;;;;
386;Molodova I;;48.56693;27.18321;4;;;;;;
914;Molodova V;8-7;48.56642;27.1839;4;;;;;;
962;Poiana-Ciresului;Grav I;46.9277;26.3291;4;;;;;;
492;Przemysl 1;;49.7833;22.7833;4;;;;;;
857;Stînca-Ripiceni;V;47.9501;27.133;4;;;;;;
615;Valea Badelui [La Caramidarie];;47.95;27.13;4;;;;;;
915;Voronovitsa, upper layer;;48.546181;26.976097;4;;;;;;
640;Yezupil [Jezupol];Layer I;49.01471;24.81443;4;;;;;;
13;Amvrosievka;II, bone bed;47.7893;38.4828;5;;;;;;
16;Anetovka 2;;47.459;31.409;5;;;;;;
17;Anodrnaktalya-Punkosd-teto;;47.83824;20.42792;5;;;;;;
25;Avdeevo;;51.76667;35.5;5;;;;;;
27;Baicu Izvorul Alb;;46.837;25.093;5;;;;;;
51;Berdyzh;;52.8337;30.9667;5;;;;;;
57;Bezymyannyi rockshelter;;52.97;30.75;5;;;;;;
58;Bicaz Ciungi;;46.90789;26.09267;5;;;;;;
71;Bobylek rockshelter;;53.7158;37.7453;5;;;;;;
684;Ceahlau-Bofu Mic [Bofu Mare];1;47.028;25.882;5;;;;;;
683;Ceahlau-Podis;;47.0369;26.0158;5;;;;;;
142;"Chulatovo 1 [Khulatovo; Tchoulatovo]";;51.83333;33.11667;5;;;;;;
160;Deal de Sat, La;;46.94;27.081;5;;;;;;
222;Gagarino;;52.8325;38.9;5;;;;;;
229;Gánovce;;49.027027;20.324095;5;;;;;;
228;Ghireni - Balta Lata;;48.11;26.828;5;;;;;;
231;Gordineshty I;;48.16263;27.177274;5;;;;;;
246;Henrykow 15;8, 9;52.0167;21.6667;5;;;;;;
285;Khotylevo 2;;53.33333;34.11667;5;;;;;;
840;Khotylevo 2;;53.33333;34.11667;5;;;;;;
664;Klusy;;52.076287;31.925043;5;;;;;;
293;Korshevo I;;53.218971;34.253692;5;;;;;;
294;Korshevo II;;53.227;34.272;5;;;;;;
295;Kostenki 1 (Polyakova site);;51.395276;39.041512;5;;;;;;
841;Kostenki 1 (Polyakova site);;51.395276;39.041512;5;;;;;;
944;Kostenki 10 [Anosovka 1];;51.3342;39.0723;5;;;;;;
945;Kostenki 10 [Anosovka 1];;51.3342;39.0723;5;;;;;;
296;Kostenki 11 (Anosovka 2);;51.385529;39.051997;5;;;;;;
297;Kostenki 12;;51.39468;39.047947;5;;;;;;
842;Kostenki 12;;51.39468;39.047947;5;;;;;;
298;Kostenki 14 (Markina gora);;51.390256;39.034729;5;;;;;;
843;Kostenki 14 (Markina gora);;51.390256;39.034729;5;;;;;;
